Company,Symbol,Weight,Price,Sector
Colgate-Palmolive,CL,0.12%,85.12,Consumer Staples
DoorDash,DASH,0.12%,156.64,Technology
Warner Bros. Discovery,WBD,0.12%,27.42,Communication Services
American Electric Power,AEP,0.12%,125.66,Utilities
Republic Services,RSG,0.11%,219.3,Industrials
CRH plc,CRH,0.11%,100.47,Materials
Hilton Worldwide,HLT,0.11%,292.58,Consumer Discretionary
TransDigm Group,TDG,0.11%,1177.39,Industrials
L3Harris,LHX,0.11%,352.85,Industrials
General Motors,GM,0.11%,72.81,Consumer Discretionary
Apollo Global Management,APO,0.11%,112,Financials
Elevance Health,ELV,0.11%,291.48,Healthcare
Travelers Companies (The),TRV,0.11%,296.6,Financials
Robinhood Markets Inc.,HOOD,0.11%,70.89,Financials
Cencora,COR,0.11%,326.91,Healthcare
Norfolk Southern Railway,NSC,0.11%,281.09,Industrials
Air Products,APD,0.11%,281.01,Materials
Fortinet,FTNT,0.10%,81.4,Technology
Simon Property Group,SPG,0.10%,184.52,Real Estate
Sempra,SRE,0.10%,91.72,Utilities
Occidental Petroleum,OXY,0.10%,60.71,Energy
Baker Hughes,BKR,0.10%,60.35,Energy
Digital Realty,DLR,0.10%,173.3,Real Estate
Paccar,PCAR,0.10%,111.26,Industrials
TE Connectivity,TEL,0.10%,195.84,Technology
Realty Income,O,0.10%,60.95,Real Estate
ONEOK,OKE,0.10%,89.21,Energy
Arthur J. Gallagher & Co.,AJG,0.09%,214.82,Financials
Aflac,AFL,0.09%,106.22,Financials
Truist Financial,TFC,0.09%,44.16,Financials
Ciena Corporation,CIEN,0.09%,383.89,Technology
AutoZone,AZO,0.09%,3282.9,Consumer Discretionary
Diamondback Energy,FANG,0.09%,192.54,Energy
Allstate,ALL,0.09%,205.62,Financials
